title,content
Applied Data Analysis, Prof. Robert West (EPFL): patati
Machine Learning, Prof. Martin Jaggi (EPFL) patata                                                                                    
A Network Tour of Data Science, Prof. Vandergheist (EPFL)                                                 
Stochastic Models for Communication, Prof. Thyran (EPFL)                                                 
Graph Theory, Prof. Eisenbrand (EPFL)                                                 
